threshold,accuracy,precision,recall,f1,positives_pred
0.3,0.954421768707483,0.8346456692913385,0.8945147679324894,0.8635437881873728,254
0.35,0.9605442176870749,0.8744769874476988,0.8818565400843882,0.8781512605042017,239
0.4,0.9598639455782313,0.9045454545454545,0.8396624472573839,0.8708971553610503,220
0.5,0.9312925170068027,0.9358974358974359,0.6160337552742616,0.7430025445292621,156
0.6,0.9013605442176871,0.9693877551020408,0.4008438818565401,0.5671641791044776,98
0.7,0.8755102040816326,0.9821428571428571,0.2320675105485232,0.37542662116040953,56
